Count	Name	Example1	Example2	Example3	Example4	Example5
1	Mary Ann Murphy	Slum interior - original envelope marked : "Feebleminded - Mary Ann Murphy, Berkeley Street Apts."
1	Berkeley Street Apts.	Slum interior - original envelope marked : "Feebleminded - Mary Ann Murphy, Berkeley Street Apts."
1	Copynegative June	Northwest corner Grosvenor and St. Vincent — Terauley Street Extension (Copynegative June 1974)
1	Sebastian Cabot	Jubilee Parade, "John and Sebastian Cabot leaving Bristol"
1	Wendy Rose	Portrait photographs of violinist Wendy Rose by Frank Harmantas
1	Samuel Johsnon	Samuel Johsnon, [Sr], Richview, portrait, Brown juryman
1	Pearson Hall	Pearson Hall players, Gabrielle Allen, Mrs, Borrise Hill, Charlotte Murphy, Jos. O'Sullivan
1	Gabrielle Allen	Pearson Hall players, Gabrielle Allen, Mrs, Borrise Hill, Charlotte Murphy, Jos. O'Sullivan
1	Borrise Hill	Pearson Hall players, Gabrielle Allen, Mrs, Borrise Hill, Charlotte Murphy, Jos. O'Sullivan
1	Charlotte Murphy	Pearson Hall players, Gabrielle Allen, Mrs, Borrise Hill, Charlotte Murphy, Jos. O'Sullivan
1	Jos. O'Sullivan	Pearson Hall players, Gabrielle Allen, Mrs, Borrise Hill, Charlotte Murphy, Jos. O'Sullivan
1	Forest Hill Taxi	Bathurst Street, vicinity of Eglinton Ave. W. : looking toward Forest Hill Taxi building
1	Victoria Richards	Portrait photographs of violinist Victoria Richards by Frank Harmantas
1	CNR Locomotive No.	Close up of 1052, CNR Locomotive No. 762
1	Alderman John Sewell	Alderman John Sewell with Eaton Centre model
1	Walmer Road Circle	Walmer Road Circle
1	H. W. D. Foster	Skating Carnival, Sam Jarvis & H. W. D. Foster, Antony & Cleopatra
1	Forest School. Board	High Park - Forest School. Board of Education
1	Lansdowne Avenue Canadian Pacific Railways	Lansdowne Avenue Canadian Pacific Railways subway construction
1	Launch T. J. Clark	Launch T. J. Clark ferry at Yonge Street wharf
1	World's Grand Champ	Winter Fair, World's Grand Champ, "Cappy P.", head
1	Cappy P.	Winter Fair, World's Grand Champ, "Cappy P.", head
1	Midland King	Port Colbourne grain jam, Brentwood and Midland King
1	Frank H. Elmore	Frank H. Elmore
1	A. Marshall	A. Marshall of Army hockey team
1	Assistant Engineer Erskine Duncan	Viaduct test, 4100 engine and crew, Assistant Engineer Erskine Duncan, Chief Engineer R.T.W. Ambrose, viaduct
1	Chief Engineer R.T.W. Ambrose	Viaduct test, 4100 engine and crew, Assistant Engineer Erskine Duncan, Chief Engineer R.T.W. Ambrose, viaduct
1	Bedford Park Avenue Bridge	Bedford Park Avenue Bridge
1	The Invisible Cleaner Company Limited	South window - loaned to The Invisible Cleaner Company Limited
1	Y. R. R.	Lakeshore Road looking east from T. & Y. R. R. car barns
1	University Apartments	University Apartments, south-west corner of St. Thomas and Sultan
1	New Dodge Coupe	E. A. B., New Dodge Coupe
1	Elm Grove	Queen St. west of Elm Grove - Track reconstruction
1	McDougall	1491 Davenport Avenue (McDougall & Brown Funeral Home)
1	Brown Funeral Home	1491 Davenport Avenue (McDougall & Brown Funeral Home)
1	Eileen Vine	Hairdressers, Vide-Crede, Eileen Vine
1	R.O.M.	Museum fence, R.O.M.
1	The New Carlton Hotel	The New Carlton Hotel, Leslie and Co., proprietors, 155 Yonge Street at Richmond St. E., s.e. corner
1	Colonel Dennison	Colonel Dennison residence, College & Rushmore
1	St. James' Cemetery	Sundial at entrance to St. James' Cemetery
1	The Flood	The Flood family, Colbourne Street, Oakville
1	E. A. Smith	University Convocation, E. A. Smith, Sir Geo. Neroman, Gertrude Lawler, Geo. H. Locke
1	Sir Geo. Neroman	University Convocation, E. A. Smith, Sir Geo. Neroman, Gertrude Lawler, Geo. H. Locke
1	Gertrude Lawler	University Convocation, E. A. Smith, Sir Geo. Neroman, Gertrude Lawler, Geo. H. Locke
1	Geo. H. Locke	University Convocation, E. A. Smith, Sir Geo. Neroman, Gertrude Lawler, Geo. H. Locke
1	Margaret Snow	Riverdale Collegiate [commencement portraits], Margaret Snow
1	Scottish Picnic	"Strathrobyn", Scottish Picnic, Mr. & Mrs. Robins
1	Mrs. Robins	"Strathrobyn", Scottish Picnic, Mr. & Mrs. Robins
1	Mrs. R. Y. Eaton	Lady Eaton (centre) with Mrs. R. Y. Eaton (left) at garden party, Eaton Hall Farm
1	Woodbridge United Church	Woodbridge United Church, Woodbridge, Ontario
1	Rev. Daniel Skarpas	Mitchell-Biffas wedding, Rev. Daniel Skarpas, Helen Phillips, Rev. Agathonikos
1	Helen Phillips	Mitchell-Biffas wedding, Rev. Daniel Skarpas, Helen Phillips, Rev. Agathonikos
1	Rev. Agathonikos	Mitchell-Biffas wedding, Rev. Daniel Skarpas, Helen Phillips, Rev. Agathonikos
1	C. D. Richardson	Sutton Horse Show, C. D. Richardson, Oakridges, "Silver"
1	London Scottish Church Parade	Armouries, London Scottish Church Parade, interior
1	Hon. W. F	Hon. W. F, Maclean
1	Earl Haig Chapter	Decoration of monuments, Earl Haig Chapter representatives
1	Dillon Vibrating Screens	Dillon Vibrating Screens, 2775 Dufferin Street
1	High Park Entrance	Track, looking west from High Park Entrance
1	MacGregor	Grange — McGregor Park (MacGregor?)
1	Pay As You Leave	Pay As You Leave motor, rear end, exterior, advertising signs
1	Reverend Canon Plumptre	Anglican Synod, Reverend Canon Plumptre, Reverend W.H. White, Reverend Sydney Childs
1	Reverend W.H. White	Anglican Synod, Reverend Canon Plumptre, Reverend W.H. White, Reverend Sydney Childs
1	Reverend Sydney Childs	Anglican Synod, Reverend Canon Plumptre, Reverend W.H. White, Reverend Sydney Childs
1	Boy's Games Room	McCormick Recreation Centre — Boy's Games Room
1	J. Dutton	Cake and Bread Bakers, J. Dutton, Peterboro
1	Norman McDermott	Eastern [School of] Commerce [commencement portraits], Norman McDermott
1	Will Leuton	RCAF, Manning Depot, R.W. [Hanfood], [Will Leuton], Vic Erwin, Joe Bell, Guy Thomas
1	Vic Erwin	RCAF, Manning Depot, R.W. [Hanfood], [Will Leuton], Vic Erwin, Joe Bell, Guy Thomas
1	Joe Bell	RCAF, Manning Depot, R.W. [Hanfood], [Will Leuton], Vic Erwin, Joe Bell, Guy Thomas
1	Guy Thomas	RCAF, Manning Depot, R.W. [Hanfood], [Will Leuton], Vic Erwin, Joe Bell, Guy Thomas
1	Jean Corbin	Communist meeting, Jean Corbin, secretary, Free Speech League
1	Free Speech League	Communist meeting, Jean Corbin, secretary, Free Speech League
1	Avon Smoke Shop	Corner of Jarvis St. and Gerrard St., looking south-west, showing the Avon Smoke Shop
1	Barricade St. Clair	Barricade St. Clair
1	Gordon Lapp	National Boys' Work Council, Gordon Lapp, C.F. Plewman, Ontario, Norman Coll, Quebec, Waldo Machum, Maritimes
1	Norman Coll	National Boys' Work Council, Gordon Lapp, C.F. Plewman, Ontario, Norman Coll, Quebec, Waldo Machum, Maritimes
1	Waldo Machum	National Boys' Work Council, Gordon Lapp, C.F. Plewman, Ontario, Norman Coll, Quebec, Waldo Machum, Maritimes
1	Priscilla Dean	Priscilla Dean and mother, CPR buffet car
1	Mrs. August Forsyth	Mr. and Mrs. August Forsyth, veterans guard
1	Honorable P. C. Larkin	Honorable P. C. Larkin, wife, and daughter, Ontario Jockey Club
1	Long Branch Line	Double truck open cars #1 and #3, Long Branch Line
1	Miss Sarah Mickle	Howard House, Miss Sarah Mickle, President Canadian Women's Historical Society
1	President Canadian Women's Historical Society	Howard House, Miss Sarah Mickle, President Canadian Women's Historical Society
1	Victory Bond Parade	Curtiss Aeroplanes and Motors float in Victory Bond Parade
1	R. Rene Cavalier	R. Rene Cavalier, Sier De La Salle
1	Sier De La Salle	R. Rene Cavalier, Sier De La Salle
1	Market Gallery	Poster for Market Gallery exhibit about waterfront or railway lands development
1	Mrs. Leonard Dixon	Mrs. Leonard Dixon & baby Marjory
1	P.V. Meyer's Banquet	Sunnyside looking east, P.V. Meyer's Banquet and Refreshments
1	Elizabeth Street School	Toronto General Hospital rear from roof of Elizabeth Street School
1	Montcrest Bouldevard	View of house at Broadview Avenue and Montcrest Bouldevard
1	A. R. Williams	Aerial view of Toronto east from A. R. Williams building
1	Captain Walling	Captain Walling at Turofsky Studio
1	Irish Jaunting Car	Humane Society, Irish Jaunting Car
1	King S. E.	469-477 King S. E.
1	Dorothy Brunner	Christian Youth Conference group : Dorothy Brunner, Albany, New York, Myrtle Roberts, Aylmer West, Ontario, Lena Lautzenheiser, Canton, Ohio
1	Myrtle Roberts	Christian Youth Conference group : Dorothy Brunner, Albany, New York, Myrtle Roberts, Aylmer West, Ontario, Lena Lautzenheiser, Canton, Ohio
1	Aylmer West	Christian Youth Conference group : Dorothy Brunner, Albany, New York, Myrtle Roberts, Aylmer West, Ontario, Lena Lautzenheiser, Canton, Ohio
1	Lena Lautzenheiser	Christian Youth Conference group : Dorothy Brunner, Albany, New York, Myrtle Roberts, Aylmer West, Ontario, Lena Lautzenheiser, Canton, Ohio
1	Mrs. Frequently	Sunnyside, old cars [parade], Mrs. Frequently
1	James MacPherson	Bloor Collegiate [commencement portraits], James MacPherson
1	Mock Tudor	Mock Tudor house, probably on High Park Avenue
1	Mayor Leslie Saunders	Toronto, Montreal hockey, Mayor Leslie Saunders, Turk Broda, [Conn Seuylths]
1	Conn Seuylths	Toronto, Montreal hockey, Mayor Leslie Saunders, Turk Broda, [Conn Seuylths]
1	S.S. Shamrock	S.S. Shamrock, (Ferry Department)
1	Commissioners St. Incinerator	Commissioners St. Incinerator
1	Columbus Christmas	Knights of Columbus Christmas party group, Columbus Hall
1	Columbus Hall	Knights of Columbus Christmas party group, Columbus Hall
1	Toronto City Controllers	Toronto City Controllers at Trinity College
1	Booster House	Station A, Booster House, interior, Front Street East and Berkeley Street
1	Albert Van	Albert Van, photographer for the Toronto Telegram
1	W. J. Wadsworth	W. J. Wadsworth, portrait
1	West Toronto Junction	Map of West Toronto Junction
1	Major P.H Layoie	Ottawa-Investiture, Major P.H Layoie from Montreal, Colonel Dollard Howard from Quebec
1	Colonel Dollard Howard	Ottawa-Investiture, Major P.H Layoie from Montreal, Colonel Dollard Howard from Quebec
1	Clarkson's CNR	Hendrie and Co. Ltd. truck no. 233 and trailer no. 73 (CNR) at Clarkson's CNR station 
1	Richmond News Stand	Southwest corner Yonge and Richmond News Stand
1	Niagara Street Hotel	Wellington & Niagara Street Hotel
1	Children's Village	Children's Village in Ontario Place [?]
1	Clubine's Brook	N.R.C., bridge over Clubine's Brook, no. 20
1	Mrs. Agnes Dunlop	Mrs. Agnes Dunlop at Ontario Jockey Club
1	J.F. Elliott	Agincourt Fair, J.F. Elliott, George Maguire, J.M. Maguire
1	George Maguire	Agincourt Fair, J.F. Elliott, George Maguire, J.M. Maguire
1	J.M. Maguire	Agincourt Fair, J.F. Elliott, George Maguire, J.M. Maguire
1	C.N.R. Crossing	Wilson Avenue, C.N.R. Crossing : East of Keele Street.
1	Keele Street.	Wilson Avenue, C.N.R. Crossing : East of Keele Street.
1	Argyle Grocery	Former corner store, Argyle Grocery & Gifts, 163 Argyle Street, at Lisgar Street, south-west corner
1	Perth Square Shelter	Perth Square Shelter
1	Hon. T.A. Crerar	Hon. T.A. Crerar, Brandon, portrait
1	Sam Bucksun	Fire, 986 Dovercourt, Sam Bucksun
1	Reed's Auto	Reed's Auto and Taxi Livery, No. 210 Victoria Street
1	Taxi Livery	Reed's Auto and Taxi Livery, No. 210 Victoria Street
1	Memorial Tablet	Exhibition, Memorial Tablet, Administrative Bldg
1	G. S. Macdonald	1866 Veterans, G. S. Macdonald, 807 Broadview Ave.
1	Mrs. W. D. Gwynne	Confederation daughters, Mrs. W. D. Gwynne
1	Port Dover	Armored rum-runner, Port Dover, copy
1	Clyde McPhatter	Clyde McPhatter, on stage, Maple Leaf Gardens
1	Northern Ontario Crusade	Northern Ontario Crusade, Canadian Manufacturers Association float, close
1	Royal Thomson Hall	Royal Thomson Hall and site of Metro Hall 
1	Trinity Gardens	Trinity Gardens, the plan
1	Patrick Boland	Patrick Boland, aged 12, 562 Jane St., grocery hold-up
1	Social Service Home	Social Service Home, University of Toronto
1	Mrs. Beardmore	Governor General Byng and Mrs. Beardmore, Ontario Jockey Club
1	Morse Street Playground Festival	Morse Street Playground Festival
1	New Toronto Hotel	New Toronto Hotel
1	Mayor William J. Stewart	Mayor William J. Stewart with Clydesdale Mac, Toronto Horse Show
1	Clydesdale Mac	Mayor William J. Stewart with Clydesdale Mac, Toronto Horse Show
1	Edgeley Bonny Luella	CNE, Edgeley Bonny Luella, P. McCleary, Edgeley, Ontario, Reserve Junior Champion, Holstein
1	P. McCleary	CNE, Edgeley Bonny Luella, P. McCleary, Edgeley, Ontario, Reserve Junior Champion, Holstein
1	Reserve Junior Champion	CNE, Edgeley Bonny Luella, P. McCleary, Edgeley, Ontario, Reserve Junior Champion, Holstein
1	Shuter Street.	Yonge Street and  Shuter Street. 
1	Cliff Lumsden	Cliff Lumsden in mayor's office, Old City Hall, signing City's guest book as  Mayor Nathan Phillips and Controller Ford Brand look on
1	Controller Ford Brand	Cliff Lumsden in mayor's office, Old City Hall, signing City's guest book as  Mayor Nathan Phillips and Controller Ford Brand look on
1	Paving Elm	Paving Elm looking east to Yonge
1	Mary Ferguson Goss	Mary Ferguson Goss portrait : Original negative by A.S. Goss
1	Arthur Richards	Western Tech., printing, Arthur Richards
1	Hon. A. B. Copp	Hon. A. B. Copp, Secretary of State, interior
1	The Originals	CNE, Warriors parade, The Originals
1	Carnegie Hall	Walter Susskind and the Toronto Symphony Orchestra outside Carnegie Hall
1	Bain Avenue Pavement	Bain Avenue Pavement
1	Murray Bonnycastle	Honeyboy Play, Hart House, Murray Bonnycastle, Howard Lindsey, Robert Beatty, portraits
1	Howard Lindsey	Honeyboy Play, Hart House, Murray Bonnycastle, Howard Lindsey, Robert Beatty, portraits
1	Robert Beatty	Honeyboy Play, Hart House, Murray Bonnycastle, Howard Lindsey, Robert Beatty, portraits
1	North York Historical Society	North York Historical Society
1	Intake Excavation	Ver Mehr Filter — Intake Excavation
1	E Day	V-E Day celebrations on Bay looking north to Queen
1	Centre Island School	Centre Island School
1	G.T.R. Station	South Parkdale, G.T.R. Station and right of way
1	G. W. Kyte	G. W. Kyte, Chief Government Whip, interior
1	Chief Government Whip	G. W. Kyte, Chief Government Whip, interior
1	C. L. Burton	C. L. Burton of Simpson's and two granddaughters in donkey cart
1	Crowes Beach	Crowes Beach, Humber Bay
1	Miss E. Leigh Capreol	Leaside, Miss E. Leigh Capreol, C.D. Browne
1	C.D. Browne	Leaside, Miss E. Leigh Capreol, C.D. Browne
1	Hank Goldup	New York Rangers hockey, Hank Goldup
1	New Jarvis St. Collegiate	New Jarvis St. Collegiate, west face
1	Hunter Building	McLean-Hunter Building, Edward Street and University Avenue
1	Harbour Castle Westin	Harbour Castle Westin looking south-east
1	Mr. Zaid	Mr. Zaid
1	Wm. Haines	899 Yonge Street (Wm. Haines, Picture Framing)
1	Picture Framing	899 Yonge Street (Wm. Haines, Picture Framing)
1	Footings Pier B	Footings Pier B
1	James Cardinal McGuigan	Public reception to honour James Cardinal McGuigan, Archbishop of Toronto, as a newly appointed Cardinal, Maple Leaf Gardens
1	Mr. Sheppard	Mr. Sheppard
1	Jim Fraser	Jim Fraser goes to enlist
1	Sandy Culbertson	Sandy Culbertson, performer in Maple Leaf Gardens' Ice Capades
1	Gwynne Estate	Gwynne Estate house, Dufferin Street
1	Lillian Beckett	School teachers, Lillian Beckett, Stella Sharpley, Berta Scrace
1	Stella Sharpley	School teachers, Lillian Beckett, Stella Sharpley, Berta Scrace
1	Berta Scrace	School teachers, Lillian Beckett, Stella Sharpley, Berta Scrace
1	Bishop Lucas	Church Crusaders, group on stage, McBride, Bishop Lucas, etc.
1	W. H. Pearson	Portrait of W. H. Pearson, General Manager and Secretary, at desk, with gas table lamp and telephone
1	Lions' Club Xmas	Lions' Club Xmas [Christmas] party scene, KE
1	Niagara Neighbourhood Centre	Niagara Neighbourhood Centre at 700 Wellington West
1	Frank Morphy	Portrait photographs of oboist Frank Morphy by Frank Harmantas
1	A.E. Moysey	Brokerage raids, A.E. Moysey and Company office, 242 Bay Street
1	Berkeley Street Fire Hall	Berkeley Street Fire Hall
1	C.C. Basnett	Humber Tourist Bureau, C.C. Basnett, Mannington, West Virginia
1	Point Edward Kids	Sarnia, Point Edward Kids being decorated
1	Humber River Area	Plan of Humber River Area — Dundas Street to Lakeshore Road
1	Chas. Berczy	Photo of drawing of proposed gas works at Front and Berkeley Streets, signed by Chas. Berczy, President, and Samuel R. Brick, Engineer
1	Samuel R. Brick	Photo of drawing of proposed gas works at Front and Berkeley Streets, signed by Chas. Berczy, President, and Samuel R. Brick, Engineer
1	Harrison Substation	Harrison Substation, (Electrical Department)
1	Olympia Supermarket	Olympia Supermarket, 1230 Dufferin Street, at Lappin Avenue, south-west corner
1	Ruud Instantaneous	Gas boiler, coal heater, Ruud Instantaneous gas water heater and humidifier in basement of E.L. Ruddy
1	New Registry Office	New Registry Office site, looking northwest
1	Lymphatic Gland	Diseases of animals - Tuberculosis of Lymphatic Gland and of Omentum
1	Billy Rotenberg	Bernice and Billy Rotenberg, Hilton Avenue fire [rescue]
1	Harbour Police	Harbour Police boat
1	Fairbank Boys' Band	Holy Name Parade, Fairbank Boys' Band
1	Captain McDonald	[Paul] Benwell ship rescue, Captain McDonald
1	Munroe Park	T.R. Car, 922 Munroe Park
1	Harry Freeman	Harry Freeman at Maple Leaf Gardens
1	Can. Ladies A. C. Relay Team	Nat. Ind. Track Champions, Can. Ladies A. C. Relay Team, Grace Raney, Dorothy Brookshaw, Kay Griffiths, Peggy Mathieson 
1	Grace Raney	Nat. Ind. Track Champions, Can. Ladies A. C. Relay Team, Grace Raney, Dorothy Brookshaw, Kay Griffiths, Peggy Mathieson 
1	Dorothy Brookshaw	Nat. Ind. Track Champions, Can. Ladies A. C. Relay Team, Grace Raney, Dorothy Brookshaw, Kay Griffiths, Peggy Mathieson 
1	Kay Griffiths	Nat. Ind. Track Champions, Can. Ladies A. C. Relay Team, Grace Raney, Dorothy Brookshaw, Kay Griffiths, Peggy Mathieson 
1	Peggy Mathieson	Nat. Ind. Track Champions, Can. Ladies A. C. Relay Team, Grace Raney, Dorothy Brookshaw, Kay Griffiths, Peggy Mathieson 
1	Hay Pike	York Pioneers - wooden shovel, wooden fork (Hay Pike)
1	Street Style	Poster for Street Style fashion show
1	Mrs N.Robb	Case 5724, Mrs N.Robb, September 26, 1936, looking to south-west corner Queen St East and Munro Park Ave; photo taken October 5, 1936, at 11:10 a.m., (Legal Department)
